image,idx,x,y,r_disk,radial_mm,otsu_mean,otsu_med,otsu_p75,otsu_p90,ws_mean,ws_med,ws_p75,ws_p90,ws_effect,contrast_sigma,stat_mean,stat_med,stat_p75,stat_p90,gm_mm,gm_bio_mm,gm_w,gm_r2,fusion_source,radial_pre_mm,gt_halo,gt_num
gt_01.jpg,1,345.0,1127.0,38.0,16.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,-8.37,9.17,9.17,9.17,9.17,0.0,0.0,31.88,0.52,radial,16.15,,6
gt_01.jpg,2,516.0,631.0,35.0,9.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.56,0.0,0.0,0.0,0.0,0.0,0.0,41.65,0.68,radial,9.24,,8
gt_01.jpg,3,723.0,989.0,41.0,17.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,-5.4,0.0,0.0,0.0,0.0,0.0,0.0,30.47,0.75,radial,17.06,32.0,9
gt_01.jpg,4,616.0,1383.0,42.0,14.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43,-3.87,0.0,0.0,0.0,0.0,0.0,0.0,2.23,0.72,radial,14.94,28.0,5
gt_01.jpg,5,961.0,1354.0,40.0,17.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.67,-9.87,13.37,13.37,13.37,13.37,14.92,13.76,2.55,0.77,radial,17.38,14.0,4
gt_01.jpg,6,1127.0,1063.0,40.0,10.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47,-4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,radial,10.27,,3
gt_01.jpg,7,357.0,808.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37,-2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,-,0.0,,7
gt_01.jpg,8,1069.0,746.0,39.0,8.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,-4.35,0.0,0.0,0.0,0.0,0.0,0.0,3.21,0.53,radial,8.98,,2
gt_01.jpg,9,811.0,567.0,38.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32,-5.9,0.0,0.0,0.0,0.0,0.0,0.0,55.1,0.72,radial,14.29,,1
gt_02.jpg,1,627.0,740.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,-5.15,0.0,0.0,0.0,0.0,0.0,0.0,2.71,0.08,-,0.0,26.0,3
gt_02.jpg,2,379.0,1267.0,49.0,6.22,7.15,6.22,6.22,6.22,0.0,0.0,0.0,0.0,-0.62,-19.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,otsu,21.46,19.0,2
gt_02.jpg,3,908.0,1235.0,50.0,15.89,12.08,15.4,15.64,15.89,0.0,0.0,0.0,0.0,-0.66,-19.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,otsu,17.76,16.0,1
gt_03.jpg,1,737.0,1117.0,45.0,27.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,-10.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,radial,27.35,24.0,9
gt_03.jpg,2,290.0,1186.0,43.0,23.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22,-10.81,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.31,radial,23.75,22.0,6
gt_03.jpg,3,609.0,687.0,42.0,22.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-8.48,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.12,radial,22.24,24.0,8
gt_03.jpg,4,455.0,1487.0,44.0,27.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,-12.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,radial,27.12,26.0,5
gt_03.jpg,5,800.0,1610.0,45.0,24.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22,-13.24,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,radial,24.02,23.0,4
gt_03.jpg,6,964.0,736.0,42.0,20.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,-9.07,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.23,radial,20.32,17.0,1
gt_03.jpg,7,1155.0,1039.0,45.0,24.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21,-10.31,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.52,radial,24.84,23.0,2
gt_03.jpg,8,299.0,938.0,42.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,-6.99,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.25,radial,23.8,23.0,7
gt_03.jpg,9,1154.0,1369.0,44.0,24.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,-9.23,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.48,radial,24.13,22.0,3
