image,disk_idx,x,y,r,status,signal,contrast_sigma,r_out,max_allowed,nn,lin_r2,tail_flat,halo_mm,continuity,gt_num,gt_halo,match_dist,label
gt_01.jpg,1,345.0,1127.0,38.0,ok,True,-8.37,152.0,0.0,319.2,0.786,0.571,16.1,0.61,6,,2.0,FP_other
gt_01.jpg,2,516.0,631.0,35.0,ok,True,-4.56,140.0,0.0,237.9,0.817,0.817,9.2,0.54,8,,0.9,FP_other
gt_01.jpg,3,723.0,989.0,41.0,ok,True,-5.4,164.0,0.0,402.4,0.905,1.625,17.1,0.46,9,32.0,1.4,MM_ERROR
gt_01.jpg,4,616.0,1383.0,42.0,ok,True,-3.87,168.0,0.0,346.2,0.762,0.778,14.9,0.74,5,28.0,0.9,MM_ERROR
gt_01.jpg,5,961.0,1354.0,40.0,ok,True,-9.87,160.0,0.0,335.0,0.809,0.023,17.4,0.86,4,14.0,3.6,MM_ERROR
gt_01.jpg,6,1127.0,1063.0,40.0,ok,True,-4.47,160.0,0.0,322.3,0.79,0.856,10.3,0.58,3,,2.7,FP_other
gt_01.jpg,7,357.0,808.0,38.0,no_reliable_signal,False,-2.58,302.9,0.0,237.9,0.192,7.703,0.0,0.04,7,,2.2,TN
gt_01.jpg,8,1069.0,746.0,39.0,ok,True,-4.35,156.0,0.0,314.0,0.312,0.419,9.0,0.69,2,,1.6,FP_other
gt_01.jpg,9,811.0,567.0,38.0,ok,True,-5.9,152.0,0.0,301.9,0.895,0.441,14.3,0.57,1,,1.6,FP_gradient_like
gt_02.jpg,1,627.0,740.0,50.0,no_reliable_signal,False,-5.15,376.2,0.0,569.2,0.381,0.02,0.0,0.0,3,26.0,1.2,FN_other
gt_02.jpg,2,379.0,1267.0,49.0,ok,True,-19.38,196.0,0.0,530.0,0.72,2.023,21.5,0.79,2,19.0,1.7,OK
gt_02.jpg,3,908.0,1235.0,50.0,ok,True,-19.74,200.0,0.0,530.0,0.884,0.042,17.8,0.78,1,16.0,1.8,OK
gt_03.jpg,1,737.0,1117.0,45.0,ok,True,-10.42,288.0,0.0,425.2,0.738,0.335,27.4,0.24,9,24.0,1.2,MM_ERROR
gt_03.jpg,2,290.0,1186.0,43.0,ok,True,-10.81,275.2,0.0,248.2,0.863,0.282,23.7,0.61,6,22.0,1.2,OK
gt_03.jpg,3,609.0,687.0,42.0,ok,True,-8.48,268.8,0.0,358.4,0.891,0.899,22.2,0.94,8,24.0,2.2,OK
gt_03.jpg,4,455.0,1487.0,44.0,ok,True,-12.11,281.6,0.0,343.3,0.826,0.222,27.1,0.72,5,26.0,0.9,OK
gt_03.jpg,5,800.0,1610.0,45.0,ok,True,-13.24,288.0,0.0,366.3,0.869,0.103,24.0,0.65,4,23.0,2.4,OK
gt_03.jpg,6,964.0,736.0,42.0,ok,True,-9.07,168.0,0.0,358.2,0.878,1.58,20.3,0.72,1,17.0,1.8,MM_ERROR
gt_03.jpg,7,1155.0,1039.0,45.0,ok,True,-10.31,288.0,0.0,330.0,0.886,0.015,24.8,0.82,2,23.0,1.9,OK
gt_03.jpg,8,299.0,938.0,42.0,ok,True,-6.99,255.4,0.0,248.2,0.827,0.461,23.8,0.67,7,23.0,2.6,OK
gt_03.jpg,9,1154.0,1369.0,44.0,ok,True,-9.23,281.6,0.0,330.0,0.867,0.001,24.1,0.82,3,22.0,1.6,OK
gt_04.jpg,1,1130.0,1028.0,42.0,ok,True,-6.45,168.0,0.0,363.6,0.847,0.086,15.2,0.88,3,15.0,0.3,OK
gt_04.jpg,2,476.0,1125.0,43.0,ok,True,-6.55,172.0,0.0,272.2,0.614,0.129,11.1,0.68,8,32.0,0.9,MM_ERROR
gt_04.jpg,3,309.0,1367.0,44.0,ok,True,-7.53,176.0,0.0,256.1,0.91,0.411,18.9,0.6,7,,2.2,FP_neighbour_leak
gt_04.jpg,4,477.0,849.0,42.0,ok,True,-3.12,168.0,0.0,276.0,0.73,0.617,13.5,0.56,9,,0.4,FP_neighbour_leak
gt_04.jpg,5,1173.0,1389.0,44.0,ok,True,-3.57,176.0,0.0,363.6,0.685,0.188,10.6,0.61,4,,1.3,FP_other
gt_04.jpg,6,739.0,1195.0,45.0,ok,True,-5.02,180.0,0.0,272.2,0.897,0.407,13.6,0.6,1,32.0,3.0,MM_ERROR
gt_04.jpg,7,873.0,1625.0,43.0,ok,True,-3.81,172.0,0.0,381.7,0.545,0.659,9.7,0.69,5,,3.6,FP_other
gt_04.jpg,8,842.0,765.0,41.0,ok,True,-3.19,164.0,0.0,374.5,0.78,0.319,8.9,0.69,2,31.0,2.9,MM_ERROR
gt_04.jpg,9,475.0,1562.0,46.0,no_reliable_signal,False,-2.59,307.5,0.0,256.1,0.508,4.893,0.0,0.03,6,,4.4,TN
gt_05.jpg,1,377.0,689.0,44.0,ok,True,-12.65,176.0,0.0,322.4,0.972,0.639,18.2,0.89,8,16.0,1.2,OK
gt_05.jpg,2,704.0,1099.0,46.0,ok,True,-7.54,184.0,0.0,405.2,0.997,1.089,23.9,0.57,1,25.0,1.3,OK
gt_05.jpg,3,725.0,1599.0,49.0,ok,True,-3.39,196.0,0.0,380.6,0.969,1.358,24.7,0.71,5,25.0,1.0,OK
gt_05.jpg,4,413.0,1381.0,48.0,ok,True,-16.84,192.0,0.0,373.9,0.851,0.477,18.7,0.9,6,15.0,3.2,MM_ERROR
gt_05.jpg,5,1162.0,1081.0,47.0,ok,True,-5.09,188.0,0.0,336.5,0.929,0.67,15.0,0.54,3,31.0,3.7,MM_ERROR
gt_05.jpg,6,1071.0,757.0,48.0,ok,True,-12.14,192.0,0.0,336.5,0.947,0.761,20.4,0.65,2,18.0,3.5,OK
gt_05.jpg,7,230.0,1055.0,47.0,ok,True,-16.48,188.0,0.0,373.9,0.837,0.195,15.9,0.79,7,15.0,11.9,OK
gt_05.jpg,8,688.0,604.0,45.0,no_reliable_signal,False,1.96,339.9,0.0,322.4,0.058,17.628,0.0,1.0,9,23.0,1.4,FN_low_contrast
gt_05.jpg,9,1108.0,1414.0,48.0,ok,True,-3.33,192.0,0.0,337.3,0.626,0.747,20.5,0.58,4,25.0,1.7,MM_ERROR
gt_06.jpg,1,685.0,1052.0,44.0,no_reliable_signal,False,-22.63,712.3,0.0,424.1,0.885,0.726,0.0,0.01,7,24.0,2.3,FN_other
gt_06.jpg,2,1073.0,1323.0,44.0,no_reliable_signal,False,-4.77,279.7,0.0,361.1,0.39,5.984,0.0,0.0,3,,1.8,TN
gt_06.jpg,3,410.0,1410.0,44.0,ok,True,-3.12,176.0,0.0,337.4,0.832,0.688,9.1,0.42,5,,1.4,FP_other
gt_06.jpg,4,1149.0,970.0,43.0,no_reliable_signal,False,-10.25,281.6,0.0,318.9,0.745,3.165,0.0,0.0,2,,1.2,TN
gt_06.jpg,5,381.0,713.0,43.0,ok,True,-16.88,273.2,0.0,330.7,0.938,0.829,29.2,0.46,8,23.0,2.1,MM_ERROR
gt_06.jpg,6,261.0,1044.0,46.0,ok,True,-21.16,184.0,0.0,352.1,0.941,0.343,20.6,0.62,6,16.0,0.6,MM_ERROR
gt_06.jpg,7,736.0,1497.0,43.0,no_reliable_signal,False,-2.67,287.4,0.0,337.4,0.726,2.686,0.0,0.07,4,,2.7,TN
gt_06.jpg,8,1023.0,677.0,45.0,ok,True,-4.68,180.0,0.0,318.9,0.927,1.022,16.2,0.65,1,29.0,2.1,MM_ERROR
gt_06.jpg,9,682.0,576.0,43.0,no_reliable_signal,False,-7.63,259.7,0.0,330.7,0.775,3.028,0.0,0.0,9,,1.3,TN
gt_07.jpg,1,939.0,704.0,39.0,ok,True,-5.18,156.0,0.0,371.0,0.917,0.328,17.1,0.6,2,14.0,6.7,MM_ERROR
gt_07.jpg,2,572.0,650.0,38.0,no_reliable_signal,False,-2.14,267.2,0.0,345.3,0.533,0.742,0.0,0.0,9,,2.4,TN
gt_07.jpg,3,700.0,1526.0,41.0,ok,True,-3.99,262.4,0.0,290.4,0.777,3.04,31.1,0.57,5,33.0,2.4,OK
gt_07.jpg,4,1107.0,1045.0,39.0,ok,True,-5.46,249.6,0.0,354.1,0.87,0.499,27.1,0.82,3,23.0,1.1,MM_ERROR
gt_07.jpg,5,676.0,1069.0,40.0,ok,True,-4.51,256.0,0.0,384.4,0.706,1.83,29.8,0.68,1,29.0,1.8,OK
gt_07.jpg,6,269.0,1141.0,41.0,ok,True,-5.01,262.4,0.0,274.4,0.571,4.755,31.1,0.82,7,34.0,1.9,OK
gt_07.jpg,7,305.0,869.0,40.0,ok,True,-4.7,256.0,0.0,274.4,0.82,0.9,27.1,0.53,8,25.0,1.8,OK
gt_07.jpg,8,934.0,1354.0,42.0,ok,True,-3.9,168.0,0.0,290.4,0.559,4.942,22.4,0.56,4,23.0,3.3,OK
gt_08.jpg,1,563.0,1509.0,45.0,ok,True,-4.18,180.0,0.0,388.5,0.363,1.252,13.9,0.53,5,35.0,1.8,MM_ERROR
gt_08.jpg,2,722.0,1037.0,49.0,ok,True,-9.84,196.0,0.0,458.8,0.985,1.331,25.1,0.62,9,23.0,2.8,OK
gt_08.jpg,3,387.0,562.0,49.0,ok,True,-7.64,196.0,0.0,331.4,0.874,0.968,17.6,0.67,8,27.0,1.0,MM_ERROR
gt_08.jpg,4,237.0,1292.0,48.0,ok,True,-22.04,192.0,0.0,391.6,0.75,0.845,22.3,0.12,6,17.0,11.1,MM_ERROR
gt_08.jpg,5,1174.0,717.0,50.0,ok,True,-15.97,200.0,0.0,416.4,0.71,3.49,26.3,0.24,2,20.0,0.3,MM_ERROR
