image,param2,n_gt,hough_total,hough_on_gt,hough_extra,current_fn,fn_recovered
gt_01.jpg,20,9,9,9,0,0,0
gt_01.jpg,16,9,9,9,0,0,0
gt_01.jpg,13,9,9,9,0,0,0
gt_01.jpg,11,9,9,9,0,0,0
gt_01.jpg,9,9,11,10,1,0,0
gt_02.jpg,20,3,4,3,1,0,0
gt_02.jpg,16,3,4,3,1,0,0
gt_02.jpg,13,3,4,3,1,0,0
gt_02.jpg,11,3,7,4,1,0,0
gt_02.jpg,9,3,13,6,4,0,0
gt_03.jpg,20,9,11,9,2,0,0
gt_03.jpg,16,9,11,9,2,0,0
gt_03.jpg,13,9,13,9,4,0,0
gt_03.jpg,11,9,18,9,9,0,0
gt_03.jpg,9,9,16,9,7,0,0
gt_04.jpg,20,9,9,9,0,0,0
gt_04.jpg,16,9,9,9,0,0,0
gt_04.jpg,13,9,11,9,2,0,0
gt_04.jpg,11,9,11,9,2,0,0
gt_04.jpg,9,9,11,10,1,0,0
gt_05.jpg,20,9,9,9,0,0,0
gt_05.jpg,16,9,9,9,0,0,0
gt_05.jpg,13,9,9,9,0,0,0
gt_05.jpg,11,9,12,10,2,0,0
gt_05.jpg,9,9,10,8,2,0,0
gt_06.jpg,20,9,9,9,0,0,0
gt_06.jpg,16,9,10,9,1,0,0
gt_06.jpg,13,9,10,9,1,0,0
gt_06.jpg,11,9,13,9,4,0,0
gt_06.jpg,9,9,12,9,3,0,0
gt_07.jpg,20,9,9,8,1,1,0
gt_07.jpg,16,9,17,9,8,1,1
gt_07.jpg,13,9,17,9,8,1,1
gt_07.jpg,11,9,19,9,9,1,1
gt_07.jpg,9,9,20,9,11,1,1
gt_08.jpg,20,9,9,9,0,0,0
gt_08.jpg,16,9,10,9,0,0,0
gt_08.jpg,13,9,10,8,1,0,0
gt_08.jpg,11,9,10,8,2,0,0
gt_08.jpg,9,9,21,10,11,0,0
gt_09.jpg,20,9,9,9,0,0,0
gt_09.jpg,16,9,11,9,2,0,0
gt_09.jpg,13,9,11,9,2,0,0
gt_09.jpg,11,9,12,9,3,0,0
gt_09.jpg,9,9,20,9,11,0,0
gt_10.jpg,20,9,10,8,1,1,0
gt_10.jpg,16,9,11,8,2,1,0
gt_10.jpg,13,9,11,8,2,1,0
gt_10.jpg,11,9,11,9,1,1,1
gt_10.jpg,9,9,10,8,1,1,0
gt_11.jpg,20,9,9,9,0,0,0
gt_11.jpg,16,9,10,10,0,0,0
gt_11.jpg,13,9,12,8,3,0,0
gt_11.jpg,11,9,12,8,4,0,0
gt_11.jpg,9,9,22,11,10,0,0
