image,x,y,scale,n_px,effect,auc,lawn_sd
gt_01.jpg,723.0,989.0,0.0,1,0.5266,0.276,15.8534
gt_01.jpg,723.0,989.0,0.05,9,0.5616,0.2777,14.8399
gt_01.jpg,723.0,989.0,0.1,25,0.5907,0.269,14.038
gt_01.jpg,723.0,989.0,0.2,81,0.6313,0.2583,12.9009
gt_01.jpg,723.0,989.0,0.4,289,0.666,0.2461,11.5051
gt_01.jpg,723.0,989.0,0.8,1089,0.6058,0.2501,10.0564
gt_01.jpg,616.0,1383.0,0.0,1,0.4652,0.3023,15.8534
gt_01.jpg,616.0,1383.0,0.05,9,0.4961,0.3076,14.8399
gt_01.jpg,616.0,1383.0,0.1,25,0.5216,0.3015,14.038
gt_01.jpg,616.0,1383.0,0.2,81,0.5571,0.2906,12.9009
gt_01.jpg,616.0,1383.0,0.4,289,0.5872,0.2773,11.5051
gt_01.jpg,616.0,1383.0,0.8,1225,0.5073,0.2705,9.9196
gt_01.jpg,961.0,1354.0,0.0,1,1.2503,0.0639,15.8534
gt_01.jpg,961.0,1354.0,0.05,9,1.3364,0.0525,14.8399
gt_01.jpg,961.0,1354.0,0.1,25,1.4121,0.0423,14.038
gt_01.jpg,961.0,1354.0,0.2,81,1.5233,0.0358,12.9009
gt_01.jpg,961.0,1354.0,0.4,289,1.6372,0.0425,11.5051
gt_01.jpg,961.0,1354.0,0.8,1089,1.2944,0.1151,10.0564
gt_02.jpg,627.0,740.0,0.0,1,0.1041,0.5129,21.4129
gt_02.jpg,627.0,740.0,0.05,9,0.1102,0.5242,20.2227
gt_02.jpg,627.0,740.0,0.1,25,0.1155,0.5266,19.3294
gt_02.jpg,627.0,740.0,0.2,121,0.1318,0.5314,17.0535
gt_02.jpg,627.0,740.0,0.4,441,0.165,0.5235,13.9151
gt_02.jpg,627.0,740.0,0.8,1681,0.25,0.5263,10.4458
gt_02.jpg,379.0,1267.0,0.0,1,0.4241,0.1928,21.4129
gt_02.jpg,379.0,1267.0,0.05,9,0.449,0.1836,20.2227
gt_02.jpg,379.0,1267.0,0.1,25,0.4696,0.1733,19.3294
gt_02.jpg,379.0,1267.0,0.2,121,0.5304,0.1514,17.0535
gt_02.jpg,379.0,1267.0,0.4,441,0.641,0.125,13.9151
gt_02.jpg,379.0,1267.0,0.8,1521,0.7454,0.1499,10.6364
gt_02.jpg,908.0,1235.0,0.0,1,0.7187,0.1342,21.4129
gt_02.jpg,908.0,1235.0,0.05,9,0.7613,0.1173,20.2227
gt_02.jpg,908.0,1235.0,0.1,25,0.7971,0.1084,19.3294
gt_02.jpg,908.0,1235.0,0.2,121,0.9051,0.098,17.0535
gt_02.jpg,908.0,1235.0,0.4,441,1.1023,0.0763,13.9151
gt_02.jpg,908.0,1235.0,0.8,1681,1.2871,0.0902,10.4458
gt_03.jpg,737.0,1117.0,0.0,1,0.3599,0.3384,29.7091
gt_03.jpg,737.0,1117.0,0.05,9,0.4089,0.2852,26.1558
gt_03.jpg,737.0,1117.0,0.1,25,0.4487,0.1879,23.8461
gt_03.jpg,737.0,1117.0,0.2,81,0.4813,0.1413,22.2562
gt_03.jpg,737.0,1117.0,0.4,361,0.5431,0.1111,19.9031
gt_03.jpg,737.0,1117.0,0.8,1369,0.6652,0.0986,16.5964
gt_03.jpg,290.0,1186.0,0.0,1,0.2405,0.4045,29.7091
gt_03.jpg,290.0,1186.0,0.05,9,0.2732,0.3729,26.1558
gt_03.jpg,290.0,1186.0,0.1,25,0.2998,0.2951,23.8461
