image,x,y,texture_effect,texture_auc,n_in,n_out
gt_01.jpg,723.0,989.0,0.5253,0.7204,50,50
gt_01.jpg,616.0,1383.0,0.3511,0.6612,50,50
gt_01.jpg,961.0,1354.0,0.4808,0.6712,50,50
gt_02.jpg,627.0,740.0,0.1784,0.3524,50,50
gt_02.jpg,379.0,1267.0,0.6163,0.3872,50,50
gt_02.jpg,908.0,1235.0,0.5347,0.3784,50,50
gt_03.jpg,737.0,1117.0,0.3739,0.4408,50,50
gt_03.jpg,290.0,1186.0,0.2286,0.5732,50,50
gt_03.jpg,609.0,687.0,0.4693,0.7012,50,50
gt_03.jpg,455.0,1487.0,0.4376,0.6732,50,50
gt_03.jpg,800.0,1610.0,0.0445,0.5347,48,48
gt_03.jpg,964.0,736.0,0.4044,0.6324,50,50
gt_03.jpg,1155.0,1039.0,0.2781,0.6756,50,50
gt_03.jpg,299.0,938.0,0.0569,0.5292,50,50
gt_03.jpg,1154.0,1369.0,0.065,0.5152,50,50
gt_04.jpg,1130.0,1028.0,0.4809,0.686,50,50
gt_04.jpg,476.0,1125.0,0.1539,0.5581,48,47
gt_04.jpg,739.0,1195.0,0.3678,0.5424,49,50
gt_04.jpg,842.0,765.0,0.2637,0.6318,50,49
gt_05.jpg,377.0,689.0,0.089,0.5932,50,50
gt_05.jpg,704.0,1099.0,0.2472,0.5012,50,50
gt_05.jpg,725.0,1599.0,0.4174,0.6732,50,50
gt_05.jpg,413.0,1381.0,0.3019,0.5216,50,50
gt_05.jpg,1162.0,1081.0,0.1624,0.5588,50,50
gt_05.jpg,1071.0,757.0,0.1094,0.4592,50,50
gt_05.jpg,230.0,1055.0,0.723,0.3672,50,50
gt_05.jpg,688.0,604.0,0.3871,0.6384,50,50
gt_05.jpg,1108.0,1414.0,0.4444,0.6596,50,50
gt_06.jpg,685.0,1052.0,0.2775,0.36,50,50
gt_06.jpg,381.0,713.0,0.0223,0.3444,50,50
gt_06.jpg,261.0,1044.0,0.3588,0.5904,50,50
gt_06.jpg,1023.0,677.0,0.0294,0.5042,47,46
gt_07.jpg,939.0,704.0,0.5232,0.702,50,50
gt_07.jpg,700.0,1526.0,0.2997,0.6376,50,49
gt_07.jpg,1107.0,1045.0,0.2711,0.6016,50,50
gt_07.jpg,676.0,1069.0,0.1074,0.5788,50,50
gt_07.jpg,269.0,1141.0,2.3153,0.316,47,47
gt_07.jpg,305.0,869.0,0.5439,0.6792,50,50
gt_07.jpg,934.0,1354.0,1.5434,0.278,50,50
gt_08.jpg,563.0,1509.0,0.0143,0.4508,50,50
gt_08.jpg,722.0,1037.0,0.4511,0.6796,50,50
gt_08.jpg,387.0,562.0,0.1776,0.4864,50,50
gt_08.jpg,237.0,1292.0,0.0644,0.4068,50,50
gt_08.jpg,1174.0,717.0,0.5948,0.7468,50,50
gt_08.jpg,945.0,1438.0,0.0361,0.4696,50,50
gt_08.jpg,1205.0,1135.0,0.3786,0.7132,50,50
gt_08.jpg,242.0,860.0,0.4113,0.4472,50,50
gt_08.jpg,811.0,513.0,0.4549,0.3792,50,50
gt_09.jpg,707.0,1115.0,3.5299,0.2192,50,50
gt_09.jpg,481.0,1517.0,0.5038,0.656,50,50
gt_09.jpg,309.0,1260.0,0.22,0.5168,50,50
gt_09.jpg,869.0,776.0,0.479,0.7164,50,50
gt_09.jpg,577.0,737.0,0.0415,0.31,50,50
gt_09.jpg,1114.0,1363.0,0.1239,0.5212,50,50
gt_10.jpg,295.0,1102.0,1.5868,0.3492,50,50
gt_11.jpg,1181.0,942.0,0.1945,0.5448,25,50
gt_11.jpg,694.0,966.0,0.2632,0.5996,50,50
gt_11.jpg,393.0,1224.0,0.5909,0.7631,39,50
gt_11.jpg,289.0,944.0,0.3057,0.6664,50,50
gt_11.jpg,1019.0,678.0,0.0948,0.5,50,50
gt_11.jpg,401.0,657.0,0.2195,0.6204,50,50
