image,transform,x,y,effect,auc
gt_01.jpg,raw,723.0,989.0,0.4528,0.6904
gt_01.jpg,raw,616.0,1383.0,0.3366,0.73
gt_01.jpg,raw,961.0,1354.0,0.459,0.6684
gt_01.jpg,clahe,723.0,989.0,0.3469,0.6164
gt_01.jpg,clahe,616.0,1383.0,0.3547,0.6748
gt_01.jpg,clahe,961.0,1354.0,0.5779,0.708
gt_01.jpg,highpass,723.0,989.0,0.2474,0.652
gt_01.jpg,highpass,616.0,1383.0,0.24,0.67
gt_01.jpg,highpass,961.0,1354.0,0.2692,0.6032
gt_01.jpg,log,723.0,989.0,0.2478,0.5248
gt_01.jpg,log,616.0,1383.0,0.3096,0.5564
gt_01.jpg,log,961.0,1354.0,0.6054,0.7392
gt_01.jpg,localstd,723.0,989.0,0.6427,0.3808
gt_01.jpg,localstd,616.0,1383.0,0.2078,0.5316
gt_01.jpg,localstd,961.0,1354.0,0.2398,0.442
gt_02.jpg,raw,627.0,740.0,0.1752,0.3568
gt_02.jpg,raw,379.0,1267.0,0.6609,0.3684
gt_02.jpg,raw,908.0,1235.0,0.5792,0.3752
gt_02.jpg,clahe,627.0,740.0,0.9137,0.2576
gt_02.jpg,clahe,379.0,1267.0,0.0228,0.5524
gt_02.jpg,clahe,908.0,1235.0,0.0798,0.4984
gt_02.jpg,highpass,627.0,740.0,1.0152,0.31
gt_02.jpg,highpass,379.0,1267.0,0.0641,0.5924
gt_02.jpg,highpass,908.0,1235.0,0.0458,0.5528
gt_02.jpg,log,627.0,740.0,2.0302,0.1992
gt_02.jpg,log,379.0,1267.0,0.2175,0.592
gt_02.jpg,log,908.0,1235.0,0.4479,0.4268
gt_02.jpg,localstd,627.0,740.0,0.5099,0.4268
gt_02.jpg,localstd,379.0,1267.0,0.0505,0.5024
gt_02.jpg,localstd,908.0,1235.0,0.5863,0.4752
gt_03.jpg,raw,737.0,1117.0,0.0614,0.4744
gt_03.jpg,raw,290.0,1186.0,0.3108,0.6016
gt_03.jpg,raw,609.0,687.0,0.3699,0.5948
gt_03.jpg,raw,455.0,1487.0,0.5392,0.7304
gt_03.jpg,raw,800.0,1610.0,0.0161,0.5104
gt_03.jpg,raw,964.0,736.0,0.3762,0.6696
gt_03.jpg,raw,1155.0,1039.0,0.3307,0.5392
gt_03.jpg,raw,299.0,938.0,0.0189,0.498
gt_03.jpg,raw,1154.0,1369.0,0.0578,0.5852
gt_03.jpg,clahe,737.0,1117.0,3.2017,0.2316
gt_03.jpg,clahe,290.0,1186.0,0.1932,0.4748
gt_03.jpg,clahe,609.0,687.0,0.1813,0.4872
