organism,agent,disk,s,r,n,CA,VME,ME,mE,CA_pct,VME_pct,ME_pct
Pseudomonas spp.,"Meropenem (indications other than meningitis), Pseudomonas other than P. aeruginosa",10,24.0,18.0,91,63,1,8,19,69.23076923076923,1.098901098901099,8.791208791208792
Enterobacterales,Doripenem,10,24.0,21.0,91,64,3,8,16,70.32967032967034,3.2967032967032965,8.791208791208792
Enterobacterales,Ofloxacin,5,24.0,22.0,91,64,4,8,15,70.32967032967034,4.395604395604396,8.791208791208792
Acinetobacter spp.,Imipenem,10,24.0,21.0,91,64,3,8,16,70.32967032967034,3.2967032967032965,8.791208791208792
Moraxella catarrhalis,Ceftriaxone,30,24.0,21.0,91,64,3,8,16,70.32967032967034,3.2967032967032965,8.791208791208792
Aeromonas spp.,Ceftazidime,10,24.0,21.0,91,64,3,8,16,70.32967032967034,3.2967032967032965,8.791208791208792
Enterobacterales,Cefepime,30,27.0,24.0,91,65,4,7,15,71.42857142857143,4.395604395604396,7.6923076923076925
Enterobacterales,Ceftriaxone (indications other than meningitis),30,27.0,24.0,91,65,4,7,15,71.42857142857143,4.395604395604396,7.6923076923076925
Aeromonas spp.,Cefepime,30,27.0,24.0,91,65,4,7,15,71.42857142857143,4.395604395604396,7.6923076923076925
Aeromonas spp.,Ciprofloxacin,5,27.0,24.0,91,65,4,7,15,71.42857142857143,4.395604395604396,7.6923076923076925
Aeromonas spp.,Levofloxacin,5,27.0,24.0,91,65,4,7,15,71.42857142857143,4.395604395604396,7.6923076923076925
Enterobacterales,Levofloxacin,5,23.0,19.0,91,66,2,9,14,72.52747252747253,2.197802197802198,9.89010989010989
Enterobacterales,Ticarcillin-clavulanic acid,75-10,23.0,20.0,91,67,2,9,13,73.62637362637362,2.197802197802198,9.89010989010989
Enterobacterales,Meropenem (indications other than meningitis),10,22.0,16.0,91,67,1,6,17,73.62637362637362,1.098901098901099,6.593406593406593
Enterobacterales,Ciprofloxacin (indications other than meningitis),5,25.0,22.0,91,67,4,8,12,73.62637362637362,4.395604395604396,8.791208791208792
Acinetobacter spp.,Meropenem (indications other than meningitis),10,21.0,15.0,91,67,1,6,17,73.62637362637362,1.098901098901099,6.593406593406593
Acinetobacter spp.,Levofloxacin,5,23.0,20.0,91,67,2,9,13,73.62637362637362,2.197802197802198,9.89010989010989
Viridans group streptococci,Ampicillin (indications other than,2,21.0,15.0,91,67,1,6,17,73.62637362637362,1.098901098901099,6.593406593406593
Achromobacter xylosoxidans,Meropenem,10,26.0,20.0,91,68,1,8,14,74.72527472527473,1.098901098901099,8.791208791208792
Enterobacterales,Cefotaxime (indications other than meningitis),5,20.0,17.0,91,69,1,6,15,75.82417582417582,1.098901098901099,6.593406593406593
Enterobacterales,Aztreonam1,30,26.0,21.0,91,69,3,8,11,75.82417582417582,3.2967032967032965,8.791208791208792
Enterobacterales,Pefloxacin (screen only),5,24.0,24.0,91,69,11,11,0,75.82417582417582,12.087912087912088,12.087912087912088
Enterobacterales,Norfloxacin (uncomplicated UTI only),10,24.0,24.0,91,69,11,11,0,75.82417582417582,12.087912087912088,12.087912087912088
Enterobacterales,Fosfomycin iv (infections originating from,200C,24.0,24.0,91,69,11,11,0,75.82417582417582,12.087912087912088,12.087912087912088
Enterobacterales,"Fosfomycin oral (uncomplicated UTI only), E. coli",200C,24.0,24.0,91,69,11,11,0,75.82417582417582,12.087912087912088,12.087912087912088
Staphylococcus spp.,Ceftaroline (indications other than,5,20.0,17.0,91,69,1,6,15,75.82417582417582,1.098901098901099,6.593406593406593
Staphylococcus spp.,Fusidic acid,10,24.0,24.0,91,69,11,11,0,75.82417582417582,12.087912087912088,12.087912087912088
Staphylococcus spp.,Trimethoprim-sulfamethoxazole5,1.25-23.75,24.0,24.0,91,69,11,11,0,75.82417582417582,12.087912087912088,12.087912087912088
Streptococcus pneumoniae,Minocycline,30,24.0,24.0,91,69,11,11,0,75.82417582417582,12.087912087912088,12.087912087912088
Viridans group streptococci,Benzylpenicillin (indications other than endocarditis),1 unit,21.0,12.0,91,69,1,2,19,75.82417582417582,1.098901098901099,2.197802197802198
Haemophilus influenzae,Cefuroxime iv,30,27.0,25.0,91,69,5,7,10,75.82417582417582,5.4945054945054945,7.6923076923076925
Haemophilus influenzae,Minocycline,30,24.0,24.0,91,69,11,11,0,75.82417582417582,12.087912087912088,12.087912087912088
Moraxella catarrhalis,Cefotaxime,5,20.0,17.0,91,69,1,6,15,75.82417582417582,1.098901098901099,6.593406593406593
Anaerobic bacteria,Piperacillin-tazobactam3,30-6,24.0,24.0,91,69,11,11,0,75.82417582417582,12.087912087912088,12.087912087912088
Anaerobic bacteria,Amoxicillin-clavulanic acid,2-1,24.0,24.0,91,69,11,11,0,75.82417582417582,12.087912087912088,12.087912087912088
