organism,agent_class,agent,disk_content_ug,zone_S_ge_mm,zone_R_lt_mm,zone_ATU,mic_S_le,mic_R_gt,pdf_page
Enterobacterales,,Benzylpenicillin,,-,-,1.,-,-,16
Enterobacterales,,Ampicillin iv1,10,14,14,,8,8,16
Enterobacterales,,Ampicillin oral (uncomplicated UTI only)1,10,14,14,2.,8,8,16
Enterobacterales,,Ampicillin-sulbactam iv1,10-10,14,14,,82,82,16
Enterobacterales,,Ampicillin-sulbactam oral (uncomplicated,10-10,14,14,,82,82,16
Enterobacterales,UTI only)1,Amoxicillin iv1,-,Note,Note,A.,8,8,16
Enterobacterales,UTI only)1,Amoxicillin oral (infections originating from the urinary tract)1,-,Note,Note,B.,0.001,8,16
Enterobacterales,UTI only)1,Amoxicillin oral (uncomplicated UTI only)1,-,Note,Note,,8,8,16
Enterobacterales,UTI only)1,Amoxicillin oral (other indications)1,-,Note,Note,E.,(0.001)3,(8)3,16
Enterobacterales,UTI only)1,Amoxicillin-clavulanic acid iv1,20-10,19,19,19-20,84,84,16
Enterobacterales,UTI only)1,Amoxicillin-clavulanic acid oral (infections originating from the urinary tract)1,20-10,50,19,19-20,0.0014,84,16
Enterobacterales,UTI only)1,Amoxicillin-clavulanic acid oral (uncomplicated UTI only)1,20-10,16,16,,324,324,16
Enterobacterales,UTI only)1,Amoxicillin-clavulanic acid oral (other indications)1,20-10,50,19,19-20,"(0.001)3,4","(8)3,4",16
Enterobacterales,UTI only)1,Piperacillin,30,20,20,,8,8,16
Enterobacterales,UTI only)1,Piperacillin-tazobactam,30-6,20,20,19,85,85,16
Enterobacterales,UTI only)1,Ticarcillin-clavulanic acid,75-10,23,20,,84,164,16
Enterobacterales,UTI only)1,"Temocillin (infections originating from the urinary tract), E. coli, Klebsiella spp. (except K. aerogenes ) and P. mirabilis",30,50,17,,0.001,16,16
Enterobacterales,UTI only)1,Phenoxymethylpenicillin,,-,-,,-,-,16
Enterobacterales,UTI only)1,Oxacillin,,-,-,,-,-,16
Enterobacterales,UTI only)1,Cloxacillin,,-,-,,-,-,16
Enterobacterales,UTI only)1,Dicloxacillin,,-,-,,-,-,16
Enterobacterales,UTI only)1,Flucloxacillin,,-,-,,-,-,16
Enterobacterales,UTI only)1,"Mecillinam oral (pivmecillinam) (uncomplicated UTI only), E. coli, Citrobacter spp., Klebsiella spp., Raoultella spp., Enterobacter spp. and P. mirabilis",10,15,15,,86,86,16
Enterobacterales,,Cefaclor (uncomplicated UTI only),,IE,IE,1.,IE,IE,17
Enterobacterales,,Cefadroxil (uncomplicated UTI only),30,12,12,,16,16,17
Enterobacterales,,Cefalexin (uncomplicated UTI only),30,14,14,,16,16,17
Enterobacterales,,Cefazolin (infections originating from the,30,50,20,,0.0012,42,17
Enterobacterales,(except K. aerogenes ),Cefepime,30,27,24,,1,4,17
Enterobacterales,(except K. aerogenes ),Cefepime-enmetazobactam,30-20,22,22,21-22,43,43,17
Enterobacterales,(except K. aerogenes ),Cefiderocol,30,23,23,21-23,24,24,17
Enterobacterales,(except K. aerogenes ),Cefixime (uncomplicated UTI only),5,17,17,5.,1,1,17
Enterobacterales,(except K. aerogenes ),Cefotaxime (indications other than meningitis),5,20,17,,1,2,17
Enterobacterales,(except K. aerogenes ),Cefotaxime (meningitis),5,20,20,,1,1,17
Enterobacterales,(except K. aerogenes ),Cefoxitin (screen only)5,30,19,19,7.,Note5,Note5,17
Enterobacterales,(except K. aerogenes ),Cefpodoxime (uncomplicated UTI only),10,21,21,8.,1,1,17
Enterobacterales,(except K. aerogenes ),Ceftaroline,5,23,23,22-23,0.5,0.5,17
Enterobacterales,(except K. aerogenes ),Ceftazidime,10,22,19,,1,4,17
Enterobacterales,(except K. aerogenes ),Ceftazidime-avibactam,10-4,13,13,,86,86,17
Enterobacterales,(except K. aerogenes ),Ceftibuten (infections originating from the urinary tract),30,23,23,,1,1,17
Enterobacterales,(except K. aerogenes ),Ceftobiprole,5,23,23,,0.25,0.25,17
Enterobacterales,(except K. aerogenes ),Ceftolozane-tazobactam7,30-10,22,22,19-21,28,28,17
Enterobacterales,(except K. aerogenes ),Ceftriaxone (indications other than meningitis),30,27,24,,1,2,17
Enterobacterales,(except K. aerogenes ),Ceftriaxone (meningitis),30,27,27,,1,1,17
Enterobacterales,(except K. aerogenes ),"Cefuroxime iv, E. coli , Klebsiella spp. (except K. aerogenes ), Raoultella spp. and P. mirabilis",30,50,19,,0.001,8,17
Enterobacterales,(except K. aerogenes ),"Cefuroxime oral (uncomplicated UTI only), E. coli, Klebsiella spp. (except K. aerogenes ), Raoultella spp. and P. mirabilis",30,19,19,,8,8,17
Enterobacterales,,Doripenem,10,24,21,1.,1,2,18
Enterobacterales,,Ertapenem,10,23,23,,0.5,0.5,18
Enterobacterales,,"Imipenem, Enterobacterales except Morganellaceae",10,22,19,,2,4,18
Enterobacterales,,"Imipenem2, Morganellaceae",10,50,19,,0.001,4,18
Enterobacterales,,"Imipenem-relebactam, Enterobacterales except Morganellaceae",10-25,22,22,20-22 3.,23,23,18
Enterobacterales,,Meropenem (indications other than meningitis),10,22,16,,2,8,18
Enterobacterales,,Meropenem (meningitis),10,22,22,,2,2,18
Enterobacterales,,Meropenem-vaborbactam,20-10,20,20,15-19A,84,84,18
Enterobacterales,,Aztreonam1,30,26,21,1.,1,4,18
Enterobacterales,,Aztreonam-avibactam,30-20,25,25,22-24,42,42,18
Enterobacterales,,"Ciprofloxacin, Salmonella spp.1",,Note,Note,1.,0.06,0.06,18
Enterobacterales,,Ciprofloxacin (indications other than meningitis),5,25,22,22-24,0.25,0.5,18
Enterobacterales,,Ciprofloxacin (meningitis)2,,Note,Note,,0.125,0.125,18
Enterobacterales,,Pefloxacin (screen only),5,24,24,,NA,NA,18
Enterobacterales,,"Delafloxacin, E. coli",,Note,Note,,0.125,0.125,18
Enterobacterales,,Levofloxacin,5,23,19,A.,0.5,1,18
Enterobacterales,,"Moxifloxacin, Enterobacterales except Morganella morganii, Proteus spp. and Serratia spp.3",5,22,22,,0.25,0.25,18
Enterobacterales,,Nalidixic acid (screen only),,NA,NA,D.,NA,NA,18
Enterobacterales,,Norfloxacin (uncomplicated UTI only),10,24,24,,0.5,0.5,18
Enterobacterales,,Ofloxacin,5,24,22,,0.25,0.5,18
Enterobacterales,,Amikacin (systemic infections),30,18,18,,(8)1,(8)1,19
Enterobacterales,,Amikacin (infections originating from the urinary tract),30,18,18,,8,8,19
Enterobacterales,,Gentamicin (systemic infections),10,17,17,,(2)1,(2)1,19
Enterobacterales,,Gentamicin (infections originating from the urinary tract),10,17,17,,2,2,19
Enterobacterales,,Netilmicin,,IE,IE,,IE,IE,19
Enterobacterales,,Tobramycin (systemic infections),10,16,16,,(2)1,(2)1,19
Enterobacterales,,Tobramycin (infections originating from the urinary tract),10,16,16,,2,2,19
Enterobacterales,,Dalbavancin,,-,-,,-,-,19
Enterobacterales,,Oritavancin,,-,-,,-,-,19
Enterobacterales,,Teicoplanin,,-,-,,-,-,19
Enterobacterales,,Telavancin,,-,-,,-,-,19
Enterobacterales,,Vancomycin,,-,-,,-,-,19
Enterobacterales,,Azithromycin1,,Note,Note,,Note1,Note1,19
Enterobacterales,,Clarithromycin,,-,-,,-,-,19
Enterobacterales,,Erythromycin,,-,-,,-,-,19
Enterobacterales,,Roxithromycin,,-,-,,-,-,19
