image,gt_disk_number,match_dist_px,gt_disk_mm,sys_disk_mm,disk_diff_mm,gt_halo_mm,sys_halo_mm,diff_mm
gt_01.jpg,8,0.9,6.0,5.4,-0.5999999999999996,,9.2,
gt_01.jpg,5,0.9,6.0,6.5,0.5,28.0,14.9,-13.1
gt_01.jpg,9,1.4,6.0,6.3,0.2999999999999998,32.0,17.1,-14.899999999999999
gt_01.jpg,2,1.6,6.0,6.0,0.0,,9.0,
gt_01.jpg,1,1.6,6.0,5.8,-0.20000000000000018,,14.3,
gt_01.jpg,6,2.0,6.0,5.8,-0.20000000000000018,,16.1,
gt_01.jpg,7,2.2,6.0,5.8,-0.20000000000000018,,,
gt_01.jpg,3,2.7,6.0,6.2,0.20000000000000018,,10.3,
gt_01.jpg,4,3.6,6.0,6.2,0.20000000000000018,14.0,17.4,3.3999999999999986
gt_02.jpg,3,1.2,6.0,6.0,0.0,26.0,,
gt_02.jpg,2,1.7,6.0,5.9,-0.09999999999999964,19.0,6.2,-12.8
gt_02.jpg,1,1.8,6.0,6.0,0.0,16.0,15.9,-0.09999999999999964
gt_03.jpg,5,0.9,6.0,6.1,0.09999999999999964,26.0,27.1,1.1000000000000014
gt_03.jpg,6,1.2,6.0,5.9,-0.09999999999999964,22.0,23.7,1.6999999999999993
gt_03.jpg,9,1.2,6.0,6.2,0.20000000000000018,24.0,27.4,3.3999999999999986
gt_03.jpg,3,1.6,6.0,6.1,0.09999999999999964,22.0,24.1,2.1000000000000014
gt_03.jpg,1,1.8,6.0,5.8,-0.20000000000000018,17.0,20.3,3.3000000000000007
gt_03.jpg,2,1.9,6.0,6.2,0.20000000000000018,23.0,24.8,1.8000000000000007
gt_03.jpg,8,2.2,6.0,5.8,-0.20000000000000018,24.0,22.2,-1.8000000000000007
gt_03.jpg,4,2.4,6.0,6.2,0.20000000000000018,23.0,24.0,1.0
gt_03.jpg,7,2.6,6.0,5.8,-0.20000000000000018,23.0,23.8,0.8000000000000007
gt_04.jpg,3,0.3,6.0,5.8,-0.20000000000000018,15.0,15.2,0.1999999999999993
gt_04.jpg,9,0.4,6.0,5.8,-0.20000000000000018,,13.5,
gt_04.jpg,8,0.9,6.0,6.0,0.0,32.0,35.1,3.1000000000000014
gt_04.jpg,4,1.3,6.0,6.1,0.09999999999999964,,10.6,
gt_04.jpg,7,2.2,6.0,6.1,0.09999999999999964,,11.6,
gt_04.jpg,2,2.9,6.0,5.7,-0.2999999999999998,31.0,32.0,1.0
gt_04.jpg,1,3.0,6.0,6.2,0.20000000000000018,32.0,32.8,0.7999999999999972
gt_04.jpg,5,3.6,6.0,6.0,0.0,,9.7,
gt_04.jpg,6,4.4,6.0,6.4,0.40000000000000036,,,
gt_05.jpg,5,1.0,6.0,6.3,0.2999999999999998,25.0,28.2,3.1999999999999993
gt_05.jpg,8,1.2,6.0,5.6,-0.40000000000000036,16.0,17.6,1.6000000000000014
gt_05.jpg,1,1.3,6.0,5.9,-0.09999999999999964,25.0,25.1,0.10000000000000142
gt_05.jpg,9,1.4,6.0,5.8,-0.20000000000000018,23.0,25.2,2.1999999999999993
gt_05.jpg,4,1.7,6.0,6.1,0.09999999999999964,25.0,24.3,-0.6999999999999993
gt_05.jpg,6,3.2,6.0,6.1,0.09999999999999964,15.0,14.3,-0.6999999999999993
gt_05.jpg,2,3.5,6.0,6.1,0.09999999999999964,18.0,20.4,2.3999999999999986
gt_05.jpg,3,3.7,6.0,6.0,0.0,31.0,17.4,-13.600000000000001
gt_05.jpg,7,11.9,6.0,6.0,0.0,15.0,14.8,-0.1999999999999993
gt_06.jpg,6,0.6,6.0,6.3,0.2999999999999998,16.0,17.2,1.1999999999999993
gt_06.jpg,2,1.2,6.0,5.9,-0.09999999999999964,,,
gt_06.jpg,9,1.3,6.0,5.9,-0.09999999999999964,,,
gt_06.jpg,5,1.4,6.0,6.0,0.0,,9.1,
gt_06.jpg,3,1.8,6.0,6.0,0.0,,,
gt_06.jpg,8,2.1,6.0,5.9,-0.09999999999999964,23.0,21.3,-1.6999999999999993
gt_06.jpg,1,2.1,6.0,6.2,0.20000000000000018,29.0,13.1,-15.9
gt_06.jpg,7,2.3,6.0,6.0,0.0,24.0,22.2,-1.8000000000000007
gt_06.jpg,4,2.7,6.0,5.9,-0.09999999999999964,,,
gt_07.jpg,3,1.1,6.0,5.8,-0.20000000000000018,23.0,27.1,4.100000000000001
gt_07.jpg,8,1.8,6.0,6.0,0.0,25.0,27.1,2.1000000000000014
gt_07.jpg,1,1.8,6.0,6.0,0.0,29.0,29.8,0.8000000000000007
gt_07.jpg,7,1.9,6.0,6.1,0.09999999999999964,34.0,31.1,-2.8999999999999986
gt_07.jpg,9,2.4,6.0,5.7,-0.2999999999999998,,,
gt_07.jpg,5,2.4,6.0,6.1,0.09999999999999964,33.0,31.1,-1.8999999999999986
gt_07.jpg,4,3.3,6.0,6.3,0.2999999999999998,23.0,22.4,-0.6000000000000014
gt_07.jpg,2,6.7,6.0,5.8,-0.20000000000000018,14.0,17.1,3.1000000000000014
gt_07.jpg,6,,6.0,,,,,
gt_08.jpg,2,0.3,6.0,6.2,0.20000000000000018,20.0,26.3,6.300000000000001
gt_08.jpg,8,1.0,6.0,6.0,0.0,27.0,17.6,-9.399999999999999
gt_08.jpg,5,1.8,6.0,5.5,-0.5,35.0,13.9,-21.1
gt_08.jpg,7,2.6,6.0,6.0,0.0,19.0,18.9,-0.10000000000000142
gt_08.jpg,9,2.8,6.0,6.0,0.0,23.0,25.1,2.1000000000000014
gt_08.jpg,3,3.1,6.0,6.0,0.0,20.0,27.8,7.800000000000001
gt_08.jpg,4,3.3,6.0,5.9,-0.09999999999999964,23.0,13.4,-9.6
gt_08.jpg,1,4.1,6.0,6.4,0.40000000000000036,20.0,22.5,2.5
gt_08.jpg,6,11.1,6.0,5.9,-0.09999999999999964,17.0,22.3,5.300000000000001
gt_09.jpg,1,0.4,6.0,5.8,-0.20000000000000018,13.0,18.1,5.100000000000001
gt_09.jpg,2,0.7,6.0,5.3,-0.7000000000000002,,,
gt_09.jpg,9,1.4,6.0,6.2,0.20000000000000018,25.0,23.7,-1.3000000000000007
gt_09.jpg,6,1.5,6.0,6.1,0.09999999999999964,29.0,28.7,-0.3000000000000007
gt_09.jpg,5,1.8,6.0,6.4,0.40000000000000036,23.0,26.4,3.3999999999999986
gt_09.jpg,8,2.2,6.0,5.8,-0.20000000000000018,27.0,,
gt_09.jpg,3,2.9,6.0,6.1,0.09999999999999964,21.0,31.3,10.3
gt_09.jpg,7,3.7,6.0,6.1,0.09999999999999964,,7.6,
gt_09.jpg,4,7.7,6.0,6.4,0.40000000000000036,,7.7,
gt_10.jpg,6,0.4,6.0,5.9,-0.09999999999999964,13.0,11.5,-1.5
gt_10.jpg,4,0.5,6.0,6.2,0.20000000000000018,,,
gt_10.jpg,1,0.8,6.0,6.1,0.09999999999999964,,,
gt_10.jpg,7,1.5,6.0,6.1,0.09999999999999964,,31.7,
gt_10.jpg,5,1.7,6.0,6.2,0.20000000000000018,,,
gt_10.jpg,3,2.5,6.0,6.1,0.09999999999999964,,,
gt_10.jpg,2,2.9,6.0,5.5,-0.5,,,
gt_10.jpg,9,4.3,6.0,5.8,-0.20000000000000018,,,
gt_10.jpg,8,,6.0,,,15.0,,
gt_11.jpg,5,0.5,6.0,6.3,0.2999999999999998,10.0,9.2,-0.8000000000000007
gt_11.jpg,1,1.1,6.0,5.5,-0.5,,,
gt_11.jpg,8,1.2,6.0,6.1,0.09999999999999964,25.0,25.2,0.1999999999999993
gt_11.jpg,7,1.6,6.0,6.1,0.09999999999999964,19.0,21.9,2.8999999999999986
gt_11.jpg,9,1.8,6.0,5.8,-0.20000000000000018,18.0,23.0,5.0
gt_11.jpg,2,2.2,6.0,6.1,0.09999999999999964,18.0,11.0,-7.0
gt_11.jpg,3,2.3,6.0,5.7,-0.2999999999999998,10.0,,
gt_11.jpg,6,3.0,6.0,6.1,0.09999999999999964,11.0,11.6,0.5999999999999996
gt_11.jpg,4,3.3,6.0,6.3,0.2999999999999998,10.0,11.2,1.1999999999999993
