image_file,dish_id,disk_number,x_px,y_px,halo_diameter_mm_expert
gt_01.jpg,1,1,809.4,567.4,
gt_01.jpg,1,2,1070.0,744.8,
gt_01.jpg,1,3,1125.4,1060.8,
gt_01.jpg,1,4,959.1,1351.0,14
gt_01.jpg,1,5,615.3,1382.4,28
gt_01.jpg,1,6,343.7,1125.5,
gt_01.jpg,1,7,354.8,807.6,
gt_01.jpg,1,8,515.6,630.2,
gt_01.jpg,1,9,724.4,988.7,32
gt_02.jpg,1,1,908.3,1236.8,16
gt_02.jpg,1,2,378.6,1268.7,19
gt_02.jpg,1,3,626.5,738.9,26
gt_03.jpg,1,1,965.8,736.2,17
gt_03.jpg,1,2,1156.7,1038.2,23
gt_03.jpg,1,3,1154.6,1367.5,22
gt_03.jpg,1,4,798.0,1608.7,23
gt_03.jpg,1,5,454.1,1487.0,26
gt_03.jpg,1,6,290.5,1187.1,22
gt_03.jpg,1,7,298.9,935.4,23
gt_03.jpg,1,8,607.2,685.8,24
gt_03.jpg,1,9,737.2,1115.8,24
gt_04.jpg,1,1,736.3,1196.3,32
gt_04.jpg,1,2,839.5,766.5,31
gt_04.jpg,1,3,1130.2,1027.8,15
gt_04.jpg,1,4,1172.4,1390.1,
gt_04.jpg,1,5,871.1,1621.9,
gt_04.jpg,1,6,470.8,1560.8,
gt_04.jpg,1,7,308.6,1364.8,
gt_04.jpg,1,8,475.1,1124.7,32
gt_04.jpg,1,9,477.2,848.7,
gt_05.jpg,1,1,705.2,1098.5,25
gt_05.jpg,1,2,1067.5,756.7,18
gt_05.jpg,1,3,1163.9,1077.8,31
gt_05.jpg,1,4,1106.5,1414.9,25
gt_05.jpg,1,5,725.8,1598.4,25
gt_05.jpg,1,6,416.2,1380.5,15
gt_05.jpg,1,7,241.9,1054.9,15
gt_05.jpg,1,8,377.3,690.2,16
gt_05.jpg,1,9,686.9,603.1,23
gt_06.jpg,1,1,1021.2,675.9,29
gt_06.jpg,1,2,1147.9,969.5,
gt_06.jpg,1,3,1071.8,1324.3,
gt_06.jpg,1,4,738.1,1495.3,
gt_06.jpg,1,5,410.8,1408.8,
gt_06.jpg,1,6,260.8,1043.4,16
gt_06.jpg,1,7,685.3,1049.7,24
gt_06.jpg,1,8,379.1,713.9,23
gt_06.jpg,1,9,683.2,576.6,
gt_07.jpg,1,1,675.4,1067.3,29
gt_07.jpg,1,2,932.4,702.7,14
gt_07.jpg,1,3,1108.1,1044.7,23
gt_07.jpg,1,4,936.2,1356.4,23
gt_07.jpg,1,5,698.1,1524.5,33
gt_07.jpg,1,6,356.1,1415.0,
gt_07.jpg,1,7,269.2,1139.1,34
gt_07.jpg,1,8,305.1,870.8,25
gt_07.jpg,1,9,569.6,649.8,
gt_08.jpg,1,1,807.8,515.6,20
gt_08.jpg,1,2,1173.9,716.7,20
gt_08.jpg,1,3,1207.4,1133.1,20
gt_08.jpg,1,4,941.8,1437.1,23
gt_08.jpg,1,5,561.2,1508.9,35
gt_08.jpg,1,6,238.1,1303.0,17
gt_08.jpg,1,7,240.5,857.9,19
gt_08.jpg,1,8,386.5,561.1,27
gt_08.jpg,1,9,719.2,1037.4,23
gt_09.jpg,1,1,869.4,776.1,13
gt_09.jpg,1,2,1121.8,985.3,
gt_09.jpg,1,3,1112.0,1360.9,21
gt_09.jpg,1,4,840.1,1529.1,
gt_09.jpg,1,5,480.2,1515.4,23
gt_09.jpg,1,6,310.0,1261.1,29
gt_09.jpg,1,7,323.7,967.7,
gt_09.jpg,1,8,578.0,735.0,27
gt_09.jpg,1,9,707.1,1116.4,25
gt_10.jpg,1,1,991.6,648.5,
gt_10.jpg,1,2,1202.3,946.6,
gt_10.jpg,1,3,1162.5,1284.6,
gt_10.jpg,1,4,913.7,1476.4,
gt_10.jpg,1,5,558.7,1396.6,
gt_10.jpg,1,6,294.8,1102.3,13
gt_10.jpg,1,7,372.6,817.5,
gt_10.jpg,1,8,630.8,604.9,15
gt_10.jpg,1,9,758.1,1018.8,
gt_11.jpg,1,1,740.6,538.0,
gt_11.jpg,1,2,1021.0,677.1,18
gt_11.jpg,1,3,1178.9,943.0,10
gt_11.jpg,1,4,1039.7,1283.7,10
gt_11.jpg,1,5,688.6,1391.7,10
gt_11.jpg,1,6,391.6,1221.4,11
gt_11.jpg,1,7,287.7,943.0,19
gt_11.jpg,1,8,692.8,965.9,25
gt_11.jpg,1,9,399.9,658.4,18
